,,Mean Agents,Mean Agents,Mean Agents,Std Dev,Std Dev,Std Dev
Route,,O-L-D,O-L-R-D,O-R-D,O-L-D,O-L-R-D,O-R-D
Representation,Game,,,,,,
F-PE,Game A,9.025,,8.975,7.264865197074085,,7.264865197074085
F-PE,Game B,6.385,4.74,6.875,6.586629902107502,2.5326808645798713,6.875736598273979
F-PO,Game A,8.97,,9.03,7.242330894395781,,7.242330894395781
F-PO,Game B,4.495,8.25,5.255,3.793670343264796,3.4448271612454335,4.56334257725485
F-RE,Game A,8.985,,9.015,6.713428753486604,,6.713428753486604
F-RE,Game B,3.945,9.9,4.155,4.068752725801679,1.4801874117385767,4.144497472128848
F-RO,Game A,8.79,,9.21,7.991572193921123,,7.991572193921123
F-RO,Game B,0.325,17.525,0.575,0.5222880528277306,0.6569114577449406,0.6567362644230964
S-PE,Game A,8.9,,9.1,3.515936439304063,,3.515936439304063
S-PE,Game B,3.47,10.88,3.65,1.9896970805531704,2.4567822236560493,1.9172583021035334
S-PO,Game A,9.345,,8.655,2.271955967794708,,2.271955967794708
S-PO,Game B,1.07,15.905,1.025,1.6488461017744145,2.7684465829074725,1.6425176777155368
S-RE,Game A,8.75,,9.25,2.936086343259574,,2.936086343259574
S-RE,Game B,0.245,17.365,0.39,0.8175063198009987,1.9340313820966488,1.4896291400460626
S-RO,Game A,7.855,,10.145,2.1109846710497533,,2.1109846710497533
S-RO,Game B,0.11,17.715,0.175,0.4889739025622275,1.2576499580906553,0.9533727487137178
